x	y	n	trajectory
57	183	1	11729,11941,12151,12360,12573,12777,12991,13200,13409,13618,13829,14036,14250,14460,14665,14874,15083,15291,15499,15708,15924,16136,16349,16561,16776,16984,17204,17418,17636,17850,18072,18285,18496,18707,18929,19140,19358,19571,19787,20004,20220,20438,20665,20884,21105,21328,21544,21766,21988,22209,22431,22650,22877,23105,23327,23546,23770,23991,24212,24432,24651,24870,25091,25317,25538,25761,25983,26207,26427,26648,26872,27094,27315,27537,27761,27987,28203,28426,28647,28871,29100,29326,29555,29773,30000,30226,30449,30671,30888,31101,31316,31531,31745,31958,32170,32396,32617,32841,33063,33286,33513,33743,33976,34207,34439,34668,34892,35119,35347,35576,
58	92	1	7500, 7713, 7923, 8132, 8347, 8559, 8777, 8987, 9193, 9399, 9609, 9820,10028,10238,
58	156	1	10449,10664,
61	71	1	58519,58758,
61	74	10	18931,19142,19360,|20006,20225,20442,20667,20886,21107,21330,21549,21768,21993,22214,|22652,22879,23107,23329,23548,23772,23996,24217,24434,24653,24872,25094,25319,25543,25766,25989,26209,26431,26653,26875,27096,27317,27542,27763,27992,28206,28428,28649,28876,29102,29328,|31960,32173,32398,32619,32844,33065,33289,33516,33746,33978,34210,34442,34670,34895,35121,35349,35578,35803,36029,36252,36474,36694,36920,37152,37384,37608,37834,38067,38299,38522,38746,38972,39197,39418,39643,|40088,40311,40535,40754,40976,41200,41420,41640,41857,42078,42299,|42758,42985,43213,43440,43665,43889,44116,|44561,44785,45002,45223,45450,|46131,46355,46582,46809,47037,|47720,47950,48184,|58759,58992,59229,59461,59696,59934,60167,60405,60640,60868,61101,61333,61559,61782,62002,62231,62465,62687,62922,63150,63379,63618,
61	99	1	29775,30005,30228,30453,
61	100	1	45224,45451,45679,45905,46132,46356,46583,46810,47038,47265,47489,47721,47951,48182,48415,48649,48873,49106,49333,49558,49783,50013,50239,50468,50703,50932,51160,51389,51614,51840,52073,52298,52530,52758,52988,53222,
61	284	2	33067,33293,|61784,62005,
62	68	1	62689,62924,63152,63384,63620,63853,
62	69	3	46585,46813,47042,47270,47493,47725,47953,48187,48420,48654,48879,49108,49335,49560,49786,50016,50241,50472,50706,50936,51164,|52075,52301,52532,52761,52990,53223,53456,|64311,64543,64777,65002,65247,65480,
62	74	1	29778,30002,30231,30452,30673,30890,31103,31318,31533,
62	75	1	1437, 1635, 1829, 2035, 2234, 2437, 2644, 2859, 3068, 3279, 3487, 3701, 3912, 4120, 4328, 4533, 4748, 4959, 5164, 5370, 5581, 5791, 6009, 6226, 6442, 6656, 6869, 7085, 7291, 7505, 7717, 7927, 8137, 8351, 8563, 8781, 8991, 9195, 9403, 9613, 9824,10032,10242,10453,10667,10874,11089,11302,11513,11733,11943,12155,12364,12575,12781,12993,13204,13413,13620,13833,14040,14252,14462,14667,14879,15085,15293,15504,15712,15929,16138,16351,16564,16778,16986,17206,17420,17638,17852,18076,18287,18501,
62	76	1	48875,49105,49332,49557,49782,50012,50238,50467,50702,50931,51159,51388,51613,51839,52072,52297,52529,52757,52987,53221,53452,53680,53908,54141,54365,54597,54821,55050,55283,55513,55747,55977,56210,56444,56676,56913,57142,57371,57602,57830,58061,58289,
62	99	1	14670,14880,15088,15296,15501,15713,15926,16139,16354,16567,16781,16989,17209,17423,17639,17855,18077,18290,18498,18711,18934,19143,19361,19573,19791,20007,20222,20443,20668,20887,21108,21331,21546,21769,21990,22211,22433,22653,22882,23108,23330,23549,23773,23993,24214,24435,24654,24873,25095,25320,25540,25763,25985,26210,26432,26650,26876,27097,27318,27540,27764,27989,28207,28431,28650,28873,29103,
62	139	3	5582, 5794, 6010, 6231, 6445, 6659, 6873, 7088, 7294, 7508, 7720, 7930, 8138, 8352, 8566, 8782, 8994, 9198, 9407, 9617, 9827,10033,10246,10454,10670,10879,11090,11305,11516,11738,11949,12156,12368,12578,12782,12999,13205,13414,13626,13834,14041,14255,14465,14671,14884,15089,15300,15508,15717,15930,16145,16355,16572,16782,16993,17210,17424,17642,17856,18078,18291,18502,18712,18935,19146,19367,19579,19792,20010,20226,20444,20674,20890,21114,21334,|23333,23555,|25767,25993,26213,26433,26654,26878,27103,27321,27543,27767,27993,28209,28432,28653,28877,29106,29331,29559,29779,30006,30232,30456,30676,30893,31106,31321,31536,31749,31963,32176,32401,32622,32847,33069,33292,33519,33749,33981,34213,34445,34673,34898,35125,35352,35581,35806,36031,36255,36477,36697,36924,37154,37387,37610,37837,38070,38305,38525,38749,38975,39198,39424,39647,39868,40092,40314,40538,40757,40979,41203,41423,41643,41860,42081,42302,42536,42761,42988,43216,43443,43669,43893,44117,44335,44564,44786,45005,45227,45455,45682,45908,46135,46358,46586,
62	140	1	22656,22883,
62	283	2	33750,33982,34214,34446,34674,|48418,48652,48877,49110,49337,49562,49785,50015,50243,50471,
62	284	11	29332,29560,29780,30007,30233,30457,30677,30894,31107,31322,31537,31750,31964,32177,32402,32623,|35126,35353,35582,35807,36032,36256,|36698,36922,37155,37388,37611,37838,38071,38302,|38750,38976,39199,39421,39645,39869,40093,40315,40539,40758,40980,41204,41424,41644,41861,42082,42303,42537,42762,42989,43217,43444,43670,43894,44118,44336,44565,44787,45006,45228,45456,45683,45909,46136,46359,46587,46812,47041,47268,47492,47724,47955,|50935,51163,51391,51616,51843,52077,|53225,53455,|53911,54144,|55053,55286,55516,55750,55980,56212,|56680,56916,57145,57374,|58064,58292,58522,58762,58994,59233,59464,59699,59937,60170,60407,60643,|62468,62691,62926,63154,63382,
62	290	1	48186,48419,48653,48878,
62	291	5	10244,10456,10672,10880,11093,11307,11518,11736,11947,12158,12366,12580,12784,12997,13207,13416,13624,13836,14043,14257,14467,14673,14882,15091,15298,15506,15715,15932,16143,16357,16569,16784,16991,17212,17426,17644,17858,18080,18293,18504,18716,18937,19148,19365,19577,19794,20012,20228,20446,20672,20892,21112,21336,21553,21776,21996,22218,22437,22658,22885,23112,23335,23553,23777,24000,24219,24439,24658,24877,25099,25324,25547,25769,25991,26215,26435,26656,26880,27101,27323,27545,27768,27994,28210,28433,28654,28879,29107,29333,29561,29781,30008,30234,30458,30678,30895,31108,31323,31538,31751,31965,32178,32403,32624,32848,33070,33294,33520,33751,33983,34215,34447,34675,34899,35127,35354,35583,35808,36033,36257,36478,36699,36925,37156,37389,37612,37839,38072,38303,38526,38751,38977,39200,39425,39648,39870,40094,40316,|41645,41862,|46588,46815,|51844,52078,|59700,59938,60171,60410,60644,60871,61106,61337,61562,
63	49	1	8354,8569,
63	68	1	60872,61103,61335,
63	69	3	55981,56214,|58996,59231,|62006,62235,
63	140	1	21774,21994,
63	231	1	47956,48188,48421,48655,48880,49111,49338,49564,49788,50018,50245,50473,50707,50937,
64	48	1	5587,5797,6015,
64	49	3	9408,9618,|10248,10459,10673,10881,11094,11309,11521,11739,11951,12161,12370,12582,12787,13000,13209,13419,13628,13839,14046,14259,14470,14676,14886,15094,15302,15509,15718,15934,16147,16359,16570,16785,16995,17215,17427,|17861,18083,18296,18507,18717,18940,19151,19368,19581,19797,20015,20231,20449,20676,20895,21116,21339,21554,21777,21999,22219,22438,
64	231	2	654, 856,1046,|3072, 3283, 3493, 3705, 3918, 4123, 4332, 4541, 4752, 4962, 5168, 5378, 5585, 5799, 6014, 6232, 6448, 6660, 6875, 7089, 7295, 7509, 7722, 7931, 8141, 8356, 8567, 8786, 8997, 9203, 9410, 9620, 9829,10036,10247,10458,10671,10883,11096,11311,11520,11741,11950,12160,12369,12584,12786,13002,13211,13418,13627,13838,14045,14261,14469,14675,14885,15093,15301,15511,15720,15936,16146,16360,16573,16788,16994,17214,17429,17646,17860,18082,18295,18506,18715,18939,19150,19370,19580,19796,20014,20230,20448,20675,20894,21115,21338,21552,21775,21998,22217,22440,22660,22887,23114,23337,23556,23779,23999,24221,24441,24661,24879,25101,25326,25546,25771,25994,26217,26437,26658,26882,27104,27325,27547,27770,27996,28212,28435,28656,28881,29109,29335,29563,29783,30010,30236,30460,30680,30897,31110,31325,31540,31753,31967,32180,32405,32626,32850,33072,33296,33522,33753,33985,34217,34449,34677,34901,35128,35356,35585,35810,36035,36259,36480,36701,36927,37158,37391,37614,37841,38074,38306,38528,38753,38979,39202,39426,39650,39872,40095,40318,40541,40759,40982,41206,41426,41647,41864,42084,42306,42539,42764,42992,43218,43445,43671,43895,44119,44338,44568,44789,45007,45230,45457,45685,45911,46137,46360,46589,46814,47043,47271,47494,
67	51	1	24004,24225,24445,24665,
68	41	1	45234,45461,
68	51	1	25105,25330,25551,25775,25998,26221,26441,26662,26886,27108,27329,27551,27774,28000,28216,28439,28660,28885,
68	266	5	860,1051,1241,1445,1642,1837,2043,2241,2444,2651,2866,3076,3287,3497,3709,3922,4128,4336,4545,4757,4967,5172,5381,5591,5802,6019,6236,6452,6664,6878,7093,7299,7514,7725,7936,|8573,8789,|10040,10252,|12374,12587,12791,13005,13214,13423,13632,13843,14050,14264,|32409,32630,32854,
68	267	7	11099,11314,11525,|18300,18511,18721,|41868,42088,42310,42543,42768,|43449,43675,|51623,51849,|52306,52539,52766,52996,|53687,53916,54149,
69	19	7	29113,29340,|29787,30015,|33076,33300,33528,33757,33989,|34453,34681,34905,35132,35360,35589,35814,36039,36264,36485,36705,36931,37162,37395,37618,37845,38078,38310,38532,38757,|42311,42544,42769,42996,43222,43450,43676,43899,44123,44342,44571,|45011,45235,45462,45689,45915,46141,46364,46593,46819,47047,47275,47498,47729,47960,48192,48425,48659,48884,49115,49342,49568,|53917,54150,
69	20	8	30464,30684,30901,31114,31329,31544,31758,31971,32184,32410,32631,|39206,39430,39654,39876,40099,|40763,40986,41210,41430,41651,41869,|50022,50249,50477,50711,50941,51168,51397,51624,51850,52083,52307,52540,52767,52997,53230,53461,|54604,54828,55058,55291,55522,55755,55986,56219,56451,56685,|57150,57380,57609,|58297,58527,58768,59001,|60649,60877,61111,
69	144	2	24667,24884,25107,25332,|29788,30014,
69	145	2	6665,6879,7094,7300,7513,|33990,34222,34454,34682,34906,
69	220	1	22893,23120,
69	261	1	659,861,
70	30	1	65010,65252,
70	159	3	2243,2446,2655,|6240,6456,|7728,7941,
71	113	3	12377,12591,12795,13009,13216,13426,13635,13846,14053,14268,14476,14682,14893,15100,15309,15516,15725,15941,16153,16366,16579,16793,17002,17221,17436,17653,17869,18089,18303,18514,18725,18946,19157,19375,19588,19803,20022,20237,20455,20683,20901,21123,21345,21560,21783,22005,22225,22446,22667,22895,23122,23343,23562,23785,24007,24229,24448,24669,24886,25109,25334,25554,25778,26001,26224,26444,26665,26889,27111,|27554,27779,28004,28219,28442,28663,28888,29115,29342,29569,29790,30017,30242,30466,30686,30903,31116,31332,31546,31760,31973,32186,32412,32633,32856,33078,33302,33530,33759,33992,34223,34456,34684,34908,35134,35362,35591,35816,36041,36267,36487,36707,36933,37164,37397,37620,37847,38080,38312,38534,38759,38985,39208,39432,39656,39878,40101,40323,40546,40765,40988,41212,41432,41653,41871,42090,42313,42546,42772,42998,43224,43453,43678,43901,44125,44344,44575,44794,45013,45237,45464,45691,45917,46143,46366,46595,46821,47049,47277,47500,47731,47962,48194,48427,48662,48887,49117,49344,49570,49793,50024,50251,50479,50713,50944,51171,51400,51627,51852,52085,52309,52542,52769,|53919,54152,54373,54606,54830,55060,55293,55525,55757,
72	53	2	456,665,868,|1648, 1843, 2048, 2248, 2451, 2657, 2873, 3083, 3292, 3503, 3714, 3928, 4133, 4341, 4552, 4763, 4972, 5178, 5387, 5597, 5807, 6024, 6245, 6459, 6670, 6884, 7099, 7306, 7519, 7732, 7943, 8150, 8364, 8578, 8794, 9004, 9211, 9418, 9628, 9836,10045,10257,10468,10683,10890,11104,11319,11531,11748,11959,12168,12379,12594,12797,13011,13220,13428,13638,13848,14055,14270,14478,14685,14896,15102,15311,15518,15728,15943,16155,16369,16581,16795,17004,17223,17438,17655,17871,18091,18305,18516,18727,18948,19159,19377,19590,19805,20024,20239,20457,20685,20905,21125,21347,21562,21785,22007,22227,22448,22670,22897,23124,23345,23564,23787,24009,24231,24450,24671,24888,25111,25336,25556,25780,26003,26226,26446,26667,26893,27113,27333,27556,27778,28006,
72	222	1	52088,52312,52544,52771,
73	147	1	59709,59947,60180,60420,
73	262	1	36711,36937,37167,37400,37623,37851,38083,38315,38537,38763,38988,39212,39436,39660,39882,40104,40326,40550,40768,40991,41215,41436,41656,41874,42093,42316,42550,42774,43002,43228,43456,43681,43905,44128,44347,44577,44797,45016,45240,45467,45694,45920,46146,
73	275	1	21128,21350,21565,21788,22010,22230,22451,22672,22900,23127,23348,23567,23790,24012,24234,24453,24674,24891,25114,25339,25559,25783,26006,26229,26449,26670,26894,27116,27336,27559,27782,28009,28223,28447,28668,28893,29120,29347,29574,29795,30022,30247,30471,30691,30908,31121,31337,31551,31765,31978,32191,32417,32638,32861,33083,33307,33535,33764,33997,34228,34461,34689,34913,35139,35367,35596,35821,36046,36272,36491,36712,36938,37169,37402,37625,37852,38085,38317,38539,38764,38989,39213,39437,39661,39883,40106,40328,40551,40770,40993,41217,41437,41658,41876,42095,42318,42551,42776,43003,43229,43457,43683,43906,44130,44349,44579,44799,45018,45242,45469,45696,45922,46148,46370,46599,46825,47053,47281,47504,47735,47966,48198,48431,48665,48890,49121,49348,49574,49797,50028,
73	276	1	50717,50947,
74	145	1	2251,2454,
75	144	1	20461,20689,20906,21129,21352,
75	145	5	6674,6889,|11963,12175,12384,|13015,13224,13433,|14059,14274,|17442,17659,
75	146	2	28894,29121,29350,|34229,34462,34691,34915,35140,35369,
76	110	1	9841,10052,10262,10473,
76	111	5	6029,6250,6464,|14690,14902,15109,|17228,17445,|45698,45926,46152,46374,46603,46829,47055,|54611,54837,
76	112	1	21567,21790,22013,22232,22453,22674,22902,23129,23351,23569,23792,24014,24236,24455,24677,24894,25117,25341,25563,25786,26009,26232,26452,26672,26896,27119,27339,27563,27785,28012,28226,28449,28671,28896,29123,29349,29576,29797,30025,30249,30475,30694,30912,31123,31339,31553,31767,31980,32193,32422,32643,32863,
76	145	8	1059,1250,|1653,1848,2054,|3297,3510,|5812,6030,|7948,8155,8369,|8799, 9009, 9215, 9423, 9633, 9842,10049,10263,|10688,10897,11109,11323,|14691,14899,15107,15316,15523,15734,15948,16159,16375,16585,
76	146	3	29798,30023,|32194,32419,32640,32864,|41439,41659,
77	100	1	30474,30693,30911,31124,31341,31555,31768,31981,32195,32421,32642,32866,33085,33311,33537,33767,33999,34232,34465,34693,34917,35143,35371,35599,35825,36050,36275,36494,36714,36941,37173,37405,37628,37855,38089,38320,38542,38767,38992,39216,39441,39664,39886,40109,40331,40554,40774,40996,41220,41441,41662,41879,42099,42321,42555,42779,43005,43232,43460,43686,43909,44133,44352,44582,44802,45021,45245,45472,45700,45925,46151,46373,46602,46828,47057,47284,47507,47739,47969,48202,48434,48668,48893,49124,49351,49577,49800,50031,50257,50486,50720,50950,51176,51405,51632,51858,52092,52316,52549,52776,53005,53238,53469,53694,53924,54158,54379,54613,54836,55066,55300,55531,55764,55994,56227,56457,56693,56928,57158,57388,57617,57844,58076,58306,58536,58777,59010,59245,59476,59713,59951,60184,60422,60657,60885,61119,61349,61575,61797,62018,62248,62481,62705,
77	109	6	34000,34233,34466,|36495,36715,36942,37174,37406,37629,37856,38090,38321,38543,38768,38993,39217,39442,39665,39887,40110,40332,40555,40775,40997,41221,41442,41663,41880,42100,42322,42556,42780,43006,43233,43461,43687,43910,44134,44353,|44803,45022,45246,45473,|47285,47508,|50721,50951,51177,51406,51633,51859,52093,52317,52550,52777,53003,53236,|53470,53695,53925,54159,54380,
77	110	2	6892,7105,7310,|15525,15733,15950,16161,16374,16588,16801,
77	111	8	4557,4769,4978,5183,5393,5603,|7737,7950,|8801,9011,|10896,11111,11325,11537,11754,11965,12174,12386,12599,12803,13018,13226,13435,13642,13854,14061,14276,|18733,18953,19165,19383,19595,19810,20029,20245,20464,20691,20908,21131,|34694,34918,|35372,35600,35823,36048,36276,|47740,47970,48200,48435,48669,48894,49125,49352,49578,49801,50032,50258,
77	145	1	2664,2878,
77	217	2	260,465,|1852,2057,
77	304	1	49127,49354,49580,49802,50034,50260,
77	305	1	47742,47973,
78	175	1	23572,23795,
79	92	1	6894,7107,
81	232	5	3091, 3301, 3512, 3722, 3937, 4142, 4349, 4559, 4771, 4980, 5186, 5395, 5606, 5816, 6033, 6253, 6466, 6679, 6895, 7108, 7314, 7527, 7739, 7953, 8159, 8372, 8586, 8803, 9013, 9219, 9426, 9636, 9845,10054,10266,10477,10691,10900,11113,11328,11539,11756,11968,12178,12388,12601,12806,13020,13228,13437,13645,13856,14064,14280,14485,14694,14904,15111,15320,15527,15737,15952,16164,16378,16590,16803,17012,17231,17447,17663,17879,18098,18313,18524,18735,18956,19167,19385,19598,19813,20032,20247,20467,20694,20911,21134,21355,21570,21793,22015,22235,22456,22677,22905,23132,23353,23573,23796,24017,24239,24458,24679,24896,25119,25344,|25788,26011,26234,26454,26675,26900,27121,27341,27564,27787,28014,28228,28452,28673,28899,29126,29353,29579,29801,30028,30251,30476,30696,30914,31126,31342,31556,31770,31983,32198,32423,32645,32867,33088,33312,33540,33769,34002,34234,34467,34695,34919,35145,35373,35601,35826,36051,36277,36496,36717,36943,37175,37407,37630,37857,38091,38322,38544,38769,38994,39218,39443,39666,39889,40112,40333,40556,40776,40998,41222,41443,41664,41881,42101,42324,42557,42782,43009,43235,43463,43689,43912,44136,44355,44585,44805,45024,45248,45476,45702,45928,46154,46376,46605,46831,47059,47287,47510,47743,47974,48204,48437,48671,48896,49128,49355,49581,49804,50035,50261,50488,50723,50953,51179,51408,51635,51861,52095,52319,52552,52779,53007,53240,53472,53697,53928,54161,54382,54615,54839,|56461,56695,56930,57160,|62483,62707,62940,63169,63398,63635,|64328,64559,
81	233	3	60659,60887,|61799,62021,|65020,65262,
81	297	1	3513,3723,
83	217	1	5817,6036,
83	238	7	2258,2462,|19386,19601,19814,20033,20248,|29127,29354,|36278,36497,36718,36944,37176,37408,37631,37858,|47745,47977,48206,|49130,49358,49583,49806,50037,50263,|50726,50955,51181,
83	239	1	51863,52098,52322,52554,52781,53009,
84	121	1	19599,19815,20034,20250,20468,
84	168	1	4144, 4351, 4561, 4772, 4982, 5188, 5397, 5608, 5819, 6035, 6255, 6468, 6681, 6897, 7110, 7316, 7529, 7741, 7955, 8161, 8374, 8588, 8805, 9015, 9221, 9428, 9639, 9847,10056,10268,10479,10693,10902,11115,11330,11541,11759,11970,12180,12390,12603,12808,13022,13230,13440,13647,13858,14066,14282,14487,14696,14906,15113,15322,15529,15739,15954,16166,16380,16592,16805,17015,17233,17449,17665,17881,18100,18316,18525,18738,18957,19168,19387,19600,19816,20035,20249,20469,20695,20913,21136,21357,21572,21794,22016,22237,22457,22678,22906,23133,23354,23574,23798,24018,24241,24459,24680,24897,25120,25345,25565,25789,26012,26235,26455,26676,26901,27122,27343,27565,27788,28015,28229,28453,28674,28900,29128,29355,29580,29802,30029,30252,30477,30697,30915,31127,31343,31557,31771,31984,32199,32424,32646,32868,33089,33313,33541,33770,34003,34235,34468,34696,34921,35146,35374,35602,35827,36052,36279,36498,36719,36945,37178,37409,37632,37859,38092,38323,38545,38770,38995,39219,39444,39667,39890,40113,40334,40557,40777,40999,41223,41444,41665,41882,42103,42325,42558,42784,43011,43237,43466,43692,43915,44138,44358,44587,44808,45026,45251,45477,45705,45931,46157,46379,46608,46833,47061,47290,47512,47746,47976,48207,48439,48673,48898,49131,49357,49584,49807,50038,50264,50490,50725,50956,51182,51410,51637,51864,52097,52321,52555,52782,53010,
84	238	2	23575,23797,|41883,42102,42326,42559,42783,43010,43236,43465,43691,43914,44139,44357,44588,44807,45027,45250,45478,45704,45930,46156,46378,46607,46834,47062,47289,
86	236	1	13231,13441,
87	18	8	33771,34005,34237,34470,34698,34922,35147,|35603,35828,36054,|38325,38547,38771,38996,39221,39445,39668,39891,40114,40336,40558,40778,41000,41224,41445,|44140,44359,44589,|48674,48899,49132,49359,|52783,53012,53242,|53700,53931,|57848,58082,58310,58540,58781,59014,
87	19	2	50957,51183,51411,|63638,63868,
87	104	4	25121,25347,25566,25790,26014,26236,26456,26677,26902,27124,27344,27566,27789,28017,28230,28454,28675,28901,29129,29356,29581,29803,30030,30254,30478,30698,|31129,31344,31558,31772,31986,32200,32425,32647,32869,33090,33314,33542,33772,34004,34236,34469,34697,|36053,36280,|38093,38326,38546,38772,38997,39220,
88	18	7	23577,23799,24020,24243,24461,24682,24898,25122,25346,25567,25791,26013,26237,26457,26678,26903,27123,27345,27567,|28902,29130,29357,29582,29804,30031,30253,30479,30699,30917,31128,|31559,31773,|32201,32426,32648,32870,33091,33315,|36499,36720,36946,37179,37410,37633,37860,|41884,42104,42327,42560,42785,43012,43238,43467,43693,|45932,46158,46380,46609,46835,47063,47291,47513,47747,47978,48208,
89	153	1	1463,1662,
91	280	11	34701,34925,35150,35379,35606,|36057,36283,36502,|36949,37181,|38096,38329,38550,|39894,40117,40339,40561,40781,41003,41227,41448,41668,41887,42107,42330,42563,42788,43015,|52326,52558,52786,53015,53245,53477,|56700,56935,57166,|60664,60892,61125,61355,|61804,62026,|62488,62713,62945,63174,63402,63641,63871,64099,|64564,64795,65025,65267,
91	281	8	44143,44362,|44811,45031,45254,|45708,45935,46161,46383,|47066,47293,47516,47750,47981,48211,48442,|50493,50729,50960,51186,51414,51640,51867,|53934,54166,54387,|55073,55307,55537,|58543,58784,59017,59251,59482,
91	286	1	42789,43017,
92	301	2	28679,28905,29134,|29586,29807,
92	302	2	30703,30920,31132,|33547,33777,
96	34	2	1862,2068,2267,2469,2676,2892,3100,3310,3523,3732,3944,|4357,4569,4780,4988,5196,5403,5614,5825,6043,6262,6474,6687,6903,
96	173	1	58547,58788,59021,
96	302	6	28460,28682,28909,29137,29362,29589,29810,30036,30259,30484,30705,|41006,41230,|43473,43698,43920,44146,44366,44595,|45034,45257,|45711,45938,46164,46386,46614,46841,47069,47297,47520,47753,47984,48215,48445,48679,48905,49137,49366,|49815,50045,50270,50497,
97	13	1	56005,56237,56471,56705,56940,57171,57398,57629,57855,58089,58317,58549,58790,59023,59256,59488,59724,59963,60196,60435,60669,60898,61130,61360,61585,61809,62031,62259,62493,62718,62950,63179,
97	14	2	63646,63876,64104,|64800,65030,
97	301	2	1470, 1668, 1864, 2070, 2268, 2471, 2678, 2894, 3102, 3312, 3525, 3734, 3945, 4151, 4359, 4570, 4782, 4990, 5198, 5405, 5616, 5827, 6045, 6264, 6476, 6689, 6905, 7117, 7324, 7538, 7749, 7963, 8170, 8382, 8597, 8814, 9023, 9229, 9436, 9647, 9855,10065,10276,10486,10701,10910,11123,11338,11549,11767,11979,12188,12398,12611,12816,13031,13239,13449,13655,13866,14074,14289,14494,14704,14915,15121,15332,15537,15747,15961,16174,16388,16599,16812,17023,17241,17458,17673,17889,18108,18324,18532,18747,18965,19177,19395,19609,19824,20043,20257,20476,20702,20920,21144,21365,21579,21804,22023,22244,22466,22685,22913,23141,23361,23584,23807,24026,24250,24468,24688,24905,25128,25355,25574,25798,26021,26244,26463,26684,26909,27130,27352,27574,27795,|33098,33322,33550,33779,34012,34243,34475,34704,34928,35153,35383,35610,35833,36060,36286,36505,36725,36952,37185,37416,37639,37865,38099,38333,38553,38777,39002,39227,39450,39673,39897,
98	65	2	10277,10488,|19178,19396,
98	306	4	41232,41452,41672,41891,42111,42336,|43020,43244,43475,|45036,45259,45484,45713,45940,46166,46388,|49139,49367,
102	191	1	17460,17675,17891,
103	42	2	276,481,|4784,4992,5200,5408,
104	43	1	6478,6691,6907,7119,
105	42	1	1867,2072,2271,2473,2680,2897,3105,3315,3527,3736,3948,4153,4361,
106	27	2	26689,26914,27136,27356,27578,27800,28027,28239,28465,28687,|29367,29593,29815,30041,30264,30489,30711,30927,31139,
108	42	1	45040,45263,
108	179	1	37871,38104,
109	27	1	28241,28466,28689,28914,29141,29368,29594,29816,
109	103	1	38784,39009,
109	104	2	39457,39681,39904,40126,|40569,40790,41013,41236,41458,41676,
109	179	1	2475,2683,
110	106	1	38107,38339,
110	107	1	36732,36959,37193,37422,37646,
110	108	1	33105,33328,33556,33787,34019,34249,34482,34712,34935,35160,35390,35616,35840,36067,
110	163	1	24474,24693,
115	35	1	62729,62962,63191,63419,63658,63887,64115,64347,
115	101	2	54859,55092,|55553,55787,56021,
115	219	1	53031,53263,
115	249	2	14299,14503,14712,14923,15130,15341,15546,15757,15971,16183,16398,16609,16822,17034,17251,17468,17683,17899,18117,18333,18542,18756,18974,19187,19405,19618,19833,20053,20267,20486,20713,20931,21153,21375,21589,21815,22034,22257,22476,22696,22925,23151,23374,23594,23817,24037,24261,24479,24700,24915,25139,25365,25585,25808,26031,26254,26474,26696,26921,27143,27363,27585,27807,|28247,28472,28694,28920,29148,29375,29601,29823,30048,30272,30497,30719,30935,31147,31360,31575,31789,32003,32218,32443,32665,32887,33111,33334,33562,33793,34025,34255,34488,34718,34941,35166,35396,35622,35846,36073,36298,36518,36738,36965,37200,37429,37652,37879,38113,38345,38566,38791,39015,39240,39463,39687,39911,40133,40354,40576,40797,41020,41244,41464,41684,41903,
115	250	2	42348,42577,42804,43031,43255,43487,43710,43932,44158,44378,44606,44825,45048,45271,45498,45725,45951,46179,46399,46626,46855,47081,47311,47532,47765,47996,48226,48458,48691,48917,49150,49378,49600,49827,50057,50282,50509,50744,50975,51201,51429,|51883,52117,52342,52575,52802,53032,53262,53494,53718,53950,54182,54404,54636,54862,55091,55324,55556,55786,56017,56249,56483,56717,56953,57185,57410,57641,57867,58101,58329,58561,58802,59035,59269,59501,59738,59977,60210,60448,60683,60911,61144,61373,61598,61822,62045,62273,62506,62732,62964,63193,63421,63660,63890,64118,64350,64581,64813,65045,65286,
115	261	1	27808,28033,28248,28474,28696,28922,29150,29378,29603,29825,30049,30273,30498,30721,30936,
115	262	1	56250,56484,
116	101	4	43257,43489,|46857,47083,47307,|59502,59736,59975,60208,60449,60685,|61824,62047,
116	102	3	53495,53720,53952,|56486,56721,56957,|57642,57868,
116	219	3	30499,30720,|43033,43258,43490,43713,43934,44159,44380,44608,44826,45050,45273,45500,|54864,55093,55325,55557,55788,56018,56251,56487,56718,56954,57187,57412,
116	261	1	1277, 1482, 1678, 1876, 2082, 2281, 2483, 2691, 2906, 3116, 3325, 3536, 3746, 3957, 4164, 4370, 4582, 4793, 5001, 5210, 5417, 5627, 5839, 6056, 6275, 6488, 6701, 6917, 7129, 7337, 7549, 7760, 7973, 8182, 8393, 8607, 8825, 9034, 9240, 9448, 9658, 9867,10077,10286,10500,10711,10921,11135,11349,11563,11779,11990,12200,12410,12621,12826,13041,13249,13460,13666,13875,14083,14301,14505,14714,14925,15132,15343,15548,15759,15973,16185,16400,16611,16824,17036,17253,17470,17685,17901,18119,18335,18544,18758,18976,19189,19407,19620,19835,20055,20269,20488,20715,20933,21155,21376,21591,21817,22036,22259,22477,22698,22927,23153,23375,23596,23819,24039,24262,24481,24702,24917,
116	262	4	25367,25586,25810,26033,|26476,26698,26923,27145,27365,|31361,31576,|32220,32444,32667,32888,33112,33336,33564,33794,34027,34257,34489,34720,34943,35168,35397,35624,35848,36074,36299,36519,36740,36967,37202,37430,37654,37881,38115,38347,38568,38793,39016,39242,39464,39689,39913,40134,40356,40578,40800,41021,41245,41465,41685,41904,42122,42349,42578,42805,43032,43256,43488,43711,43935,44160,44379,44609,44827,45049,45272,45499,45726,45952,46180,46400,46628,46856,47082,47312,47533,47767,
116	282	3	48918,49151,49379,49601,|50058,50283,50510,50745,50976,51202,51430,51655,|53264,53496,
116	283	1	47536,47768,47997,
116	286	1	56488,56720,56956,57188,57413,57644,57870,58103,58331,58563,58804,59038,59271,59504,
